Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2
20200301,S12000029,South Lanarkshire,0,0,0,,0,0,0,3,34,10.60743144,3,0,0,0,3,0
20200301,S12000030,Stirling,0,0,0,,0,0,0,2,27,28.65937799,3,0,0,0,3,0
20200301,S12000033,Aberdeen City,0,0,0,,0,0,0,3,36,15.74321074,3,0,0,0,3,0
20200301,S12000034,Aberdeenshire,0,0,0,,0,0,0,1,37,14.16484821,1,0,0,0,1,0
20200301,S12000035,Argyll & Bute,0,0,0,,0,0,0,0,3,3.493653197,1,0,0,0,1,0
20200301,S12000036,City of Edinburgh,0,0,0,,0,0,0,11,140,26.6702227,13,0,0,0,13,0
20200301,S12000038,Renfrewshire,0,0,0,,0,0,0,6,24,13.40033501,6,0,0,0,6,0
20200301,S12000039,West Dunbartonshire,0,0,0,,0,0,0,1,12,13.49375914,1,0,0,0,1,0
20200301,S12000040,West Lothian,0,0,0,,0,0,0,2,30,16.38448935,2,0,0,0,2,0
20200301,S12000041,Angus,0,1,0.860585198,,0,0,0,3,32,27.53872633,3,0,0,0,3,0
20200301,S12000042,Dundee City,0,0,0,,0,0,0,0,22,14.73345834,0,0,0,0,0,0
20200301,S12000045,East Dunbartonshire,0,0,0,,0,0,0,2,16,14.7275405,2,0,0,0,2,0
20200301,S12000015,Fife,0,0,0,,0,0,0,1,71,19.0068264,2,0,0,0,2,0
20200301,S12000024,Perth & Kinross,0,0,0,,0,0,0,0,28,18.42711418,0,0,0,0,0,0
20200301,S12000046,Glasgow City,0,0,0,,0,0,0,10,97,15.32095021,12,0,0,0,12,0
20200301,S12000044,North Lanarkshire,0,0,0,,0,0,0,5,46,13.47511498,6,0,0,0,6,0
20200302,S12000005,Clackmannanshire,0,1,1.94024059,,0,0,0,3,17,32.98409003,4,0,0,0,4,0
20200302,S12000006,Dumfries & Galloway,0,0,0,,0,0,0,12,44,29.55797394,12,0,0,0,12,0
20200302,S12000008,East Ayrshire,0,0,0,,0,0,0,1,14,11.47446931,1,0,0,0,1,0
20200302,S12000010,East Lothian,0,0,0,,0,0,0,5,20,18.6758801,6,0,0,0,6,0
20200302,S12000011,East Renfrewshire,0,0,0,,0,0,0,3,11,11.51470742,3,0,0,0,3,0
20200302,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
20200302,S12000014,Falkirk,0,0,0,,0,0,0,4,39,24.24016409,5,0,0,0,5,0
20200302,S12000017,Highland,0,0,0,,0,0,0,2,34,14.41716491,3,0,0,0,3,0
20200302,S12000018,Inverclyde,0,0,0,,0,0,0,4,17,21.85089974,4,0,0,0,4,0
20200302,S12000019,Midlothian,0,0,0,,0,0,0,3,19,20.54942678,7,0,0,0,7,0
20200302,S12000020,Moray,0,1,1.043623461,,0,0,0,1,15,15.65435191,1,0,0,0,1,0
20200302,S12000021,North Ayrshire,1,1,0.742170105,,0,0,0,4,23,17.06991242,5,1,20,0,5,0
20200302,S12000023,Orkney Islands,0,0,0,,0,0,0,0,4,17.96138303,0,0,0,0,0,0
20200302,S12000026,Scottish Borders,0,0,0,,0,0,0,3,32,27.70322916,3,0,0,0,3,0
20200302,S12000027,Shetland Islands,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
20200302,S12000028,South Ayrshire,0,0,0,,0,0,0,3,13,11.54426783,4,0,0,0,4,0
20200302,S12000029,South Lanarkshire,0,0,0,,0,0,0,16,50,15.59916388,19,0,0,0,19,0
20200302,S12000030,Stirling,0,0,0,,0,0,0,7,34,36.08958709,12,0,0,0,12,0
20200302,S12000033,Aberdeen City,0,0,0,,0,0,0,10,46,20.11632483,11,0,0,0,11,0
20200302,S12000034,Aberdeenshire,0,0,0,,0,0,0,6,43,16.46185062,6,0,0,0,6,0
20200302,S12000035,Argyll & Bute,0,0,0,,0,0,0,0,3,3.493653197,0,0,0,0,0,0
20200302,S12000036,City of Edinburgh,0,0,0,,0,0,0,31,171,32.57577201,32,0,0,0,32,0
20200302,S12000038,Renfrewshire,0,0,0,,0,0,0,10,34,18.98380793,12,0,0,0,12,0
20200302,S12000039,West Dunbartonshire,0,0,0,,0,0,0,6,18,20.2406387,6,0,0,0,6,0
20200302,S12000040,West Lothian,0,0,0,,0,0,0,5,35,19.11523758,5,0,0,0,5,0
20200302,S12000041,Angus,0,1,0.860585198,,0,0,0,3,35,30.12048193,12,3,25,0,12,0
20200302,S12000042,Dundee City,0,0,0,,0,0,0,2,24,16.07286365,2,0,0,0,2,0
20200302,S12000045,East Dunbartonshire,0,0,0,,0,0,0,6,22,20.25036819,9,0,0,0,9,0
20200302,S12000015,Fife,0,0,0,,0,0,0,13,84,22.48694954,14,0,0,0,14,0
20200302,S12000024,Perth & Kinross,0,0,0,,0,0,0,1,29,19.0852254,5,0,0,0,5,0
20200302,S12000046,Glasgow City,0,0,0,,0,0,0,37,134,21.16502401,46,0,0,0,46,0
20200302,S12000044,North Lanarkshire,0,0,0,,0,0,0,10,56,16.4044878,13,0,0,0,13,0
20200303,S12000005,Clackmannanshire,1,2,3.88048118,,0,0,0,3,20,38.8048118,4,1,25,0,4,0
20200303,S12000006,Dumfries & Galloway,0,0,0,,0,0,0,9,53,35.60392315,8,0,0,0,8,0
20200303,S12000008,East Ayrshire,0,0,0,,0,0,0,5,19,15.57249406,5,0,0,0,5,0
20200303,S12000010,East Lothian,0,0,0,,0,0,0,3,23,21.47726212,3,0,0,0,3,0
20200303,S12000011,East Renfrewshire,0,0,0,,0,0,0,1,12,12.56149901,2,0,0,0,2,0
20200303,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,1,1,3.74251497,1,0,0,0,1,0
20200303,S12000014,Falkirk,0,0,0,,0,0,0,14,53,32.94176145,21,0,0,0,21,0
20200303,S12000017,Highland,0,0,0,,0,0,0,4,38,16.11330195,4,0,0,0,4,0
20200303,S12000018,Inverclyde,0,0,0,,0,0,0,3,20,25.70694087,3,0,0,0,3,0
20200303,S12000019,Midlothian,0,0,0,,0,0,0,12,31,33.52801211,12,0,0,0,12,0
20200303,S12000020,Moray,0,1,1.043623461,,0,0,0,1,16,16.69797537,1,0,0,0,1,0
20200303,S12000021,North Ayrshire,0,1,0.742170105,,0,0,0,4,27,20.03859285,6,0,0,0,6,0
20200303,S12000023,Orkney Islands,0,0,0,,0,0,0,1,5,22.45172878,1,0,0,0,1,0
20200303,S12000026,Scottish Borders,0,0,0,,0,0,0,2,34,29.43468098,2,0,0,0,2,0
20200303,S12000027,Shetland Islands,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
